crop_no,m,Dependent,Fixed,RMSE,Model ID,MAE
3,3,Yield.Change,"0+s(Temp.Change)+s(Precipitation.change)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Temp.Change,Reference_fact,bs='re')+s(Precipitation.change,Reference_fact,bs='re')+s(f_CO2,Reference_fact,bs='re')+s(Country2_fact,bs='re')",20.82356997278739,1,12.641619432107824
3,3,Yield.Change,"0+poly(Temp.Change,2)+poly(Precipitation.change,2)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Temp.Change,Reference_fact,bs='re')+s(Precipitation.change,Reference_fact,bs='re')+s(f_CO2,Reference_fact,bs='re')+s(Country2_fact,bs='re')",21.765928896699847,3,12.712678734108987
3,3,Yield.Change,"0+s(Temp.Change)+s(Precipitation.change)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Country2_fact,bs='re')",22.2360332340561,2,13.486436214437697
3,3,Yield.Change,"0+poly(Temp.Change,2)+poly(Precipitation.change,2)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Country2_fact,bs='re')",23.87398843207412,4,14.605305206261125
3,3,Yield.Change,0+Temp.Change+I(Temp.Change)^2+Temp.Change:Baseline_tmp+Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy,30.209821502450684,5,19.062019671856078
3,4,Yield.Change,"0+s(Temp.Change)+s(Precipitation.change)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Temp.Change,Reference_fact,bs='re')+s(Precipitation.change,Reference_fact,bs='re')+s(f_CO2,Reference_fact,bs='re')+s(Country2_fact,bs='re')",20.688347743444027,1,12.781091335044891
3,4,Yield.Change,"0+poly(Temp.Change,2)+poly(Precipitation.change,2)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Temp.Change,Reference_fact,bs='re')+s(Precipitation.change,Reference_fact,bs='re')+s(f_CO2,Reference_fact,bs='re')+s(Country2_fact,bs='re')",20.848833014401123,3,12.87397633331959
3,4,Yield.Change,"0+poly(Temp.Change,2)+poly(Precipitation.change,2)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Country2_fact,bs='re')",21.094799304630495,4,13.662002124388033
3,4,Yield.Change,"0+s(Temp.Change)+s(Precipitation.change)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Country2_fact,bs='re')",21.38658513325511,2,13.623822021948635
3,4,Yield.Change,0+Temp.Change+I(Temp.Change)^2+Temp.Change:Baseline_tmp+Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy,31.35629946862128,5,20.600420364314918
3,5,Yield.Change,"0+poly(Temp.Change,2)+poly(Precipitation.change,2)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Temp.Change,Reference_fact,bs='re')+s(Precipitation.change,Reference_fact,bs='re')+s(f_CO2,Reference_fact,bs='re')+s(Country2_fact,bs='re')",20.971390127139284,3,12.79145480159235
3,5,Yield.Change,"0+poly(Temp.Change,2)+poly(Precipitation.change,2)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Country2_fact,bs='re')",21.26336579814373,4,13.712214323642646
